concurrency,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,5001.0,99.0,896.3793895,854.0040769999999,938.754702,896.3793895,930.2796394999999,934.51717075,937.9071957499999,42.3753125,6.865717,6.861826,6.8696079999999995,6.865717,6.868829799999999,6.8692189,6.869530179999999,0.003891,1569.219642,1526.463021,1611.976263,1569.219642,1603.4249387999998,1607.7006009,1611.1211305799998,42.756620999999996,0.6357387392527679,62.93813518602402,145.6512584456524,145.5687136733275,145.73380321797725,145.6512584456524,145.7172942635123,145.72554874074476,145.73215232253077,0.08254477232488,profile,genai_perf_config.yaml,False,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,0.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,5.6697014999999995,5.711078,5.628324999999999,5.6697014999999995,5.7028027,5.706940349999999,5.710250469999999,0.0413765
11,5000.136363636364,99.0,384.7558053181818,126.20737299999999,1197.411061,232.3550885,1037.2927474000005,1057.7865651,1168.09165375,337.0966222183497,9.767927727272726,6.888382,14.691802,9.346853,12.614700699999998,13.421800149999997,14.434021959999999,2.149987856915268,1342.0127205909089,812.18399,2294.059273,1125.0269429999998,2293.9875141999996,2294.0357612,2294.05470256,488.86216685885165,6.698210610788879,663.1228504680989,107.19764367611874,68.0651699498809,145.17197216995226,107.02169400567854,139.91110562880408,141.7929050260665,144.47916904706585,22.452745537613545,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.9,5001.0,5001.0,0.34317429251230674,99.0,99.0,99.0,99.0,99.0,99.0,0.0,22.0,87.34880204545455,427.46256999999997,6.848805,8.826452999999999,220.96430340000006,355.76297949999986,413.86238955999994,122.04153345974306
21,5000.071428571428,98.97619047619048,385.7020518333333,42.127843,629.7732599999999,398.900688,608.5737666999999,622.5633882,629.36321736,156.2569981645262,12.1811615,8.733226,16.703609999999998,12.5400545,15.880898699999998,16.628754749999995,16.70094377,2.5598699048060665,1579.0072034999998,1272.843169,1781.081526,1612.645268,1773.50278,1778.26215835,1780.97586941,198.91844445316514,12.843719296343627,1271.22240749763,85.8705005042709,59.86729814692752,114.50522407183783,79.74447028515104,112.10072510630343,114.0542103141838,114.3911929832522,18.26635527344481,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.25753937681885636,100.0,97.0,99.0,99.0,99.0,99.59,0.3442102927333562,42.0,148.9875305238095,502.207808,7.287571,94.23268449999999,358.75983029999986,482.53275244999975,500.2407866699999,151.84707119666112
31,5000.064516129032,99.0,431.90798022580645,130.836644,861.4741349999999,403.19077899999996,739.8545541,793.7268238999999,851.20919408,186.40265169915966,14.26275135483871,8.955998,23.783032,12.823601,19.886105899999997,21.718756499999994,22.791728929999998,4.313236700375792,1829.5767676774194,1260.82861,2490.9304669999997,1727.3949289999998,2490.1691468,2490.3011118,2490.6198562199997,474.97475559342456,15.79609587424289,1563.8134915500461,76.58133094457625,42.04678360605999,111.65701466212923,78.05794158011156,100.78748183013629,106.5995419298995,111.65226944389171,21.84500217823034,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.24567010018915836,100.0,98.0,99.0,99.0,99.0,100.0,0.254000254000381,62.0,172.97396020967741,748.364065,8.093468,112.2308185,444.9489605,545.765841,684.7571214200001,190.2481390335386
41,5000.0609756097565,99.0,546.6176134390245,42.004107999999995,1124.781297,527.615041,938.6283664000005,1012.9055167999999,1037.2142527799997,259.57304367719024,15.856373524390243,8.644259,31.250314999999997,14.151669,23.931516000000006,27.29157585,29.678015089999995,5.744067921881523,2100.542217378049,1119.360708,3229.2605249999997,1869.076873,3196.3870825,3228.7915456999995,3229.12807218,632.8254086205051,17.70733765841951,1753.0264281835318,70.81578812090564,31.99967744325137,115.68371563138032,70.66304335951003,100.67393043385547,105.52423278034657,112.40847711145885,22.571672558743266,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2392855715896169,99.0,99.0,99.0,99.0,99.0,99.0,0.0,82.0,263.16649618292683,944.3577389999999,9.817285,231.8245135,625.2015915,721.3022395,900.5563361399999,241.86419703734646
51,5000.068627450981,98.99019607843137,334.1859493431372,40.508731,771.6614639999999,385.1966745,540.3942461,627.0439875499999,757.6319186199997,188.59932268188257,18.55336193137255,10.492204,29.93066,18.534919,25.6882761,28.85687685,28.8639736,5.494114294006345,2152.2603507058825,1269.355877,3001.31905,2229.926005,2980.6764749,3000.7086200999997,3001.23549746,581.9739031527567,22.017044387849577,2179.471541020757,59.03805839687185,33.41055626571549,95.30885979723612,53.952218517392296,82.9791300022443,87.555967588973,92.6952042955424,17.919645459363164,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.25281954820054164,99.0,98.0,99.0,99.0,99.0,99.0,0.09852819236393032,102.0,183.89813937254902,738.013278,8.707892,105.03643849999999,494.5678678,632.5995501499999,633.06878476,199.2929807464875
61,5000.065573770492,99.0,290.29251555737704,34.637792,742.265534,271.89329299999997,516.8243397,611.7342965499998,742.0114300299999,176.01217174687787,16.2873238852459,10.379622999999999,24.950857,15.116074999999999,21.2759479,22.419434599999985,23.431224149999995,3.535942951764508,1886.4339530245902,1170.2637519999998,2525.795268,1862.8126685,2456.7226314,2525.17878505,2525.6835896,368.42198689809317,29.03933100129923,2874.8937691286237,64.29302061719366,40.078783666629164,96.3426128290016,66.15952495194576,81.6558899946679,86.81964002358396,96.06063798084725,13.634427841989423,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.24753555525477866,100.0,98.0,99.0,99.0,99.0,99.78999999999999,0.18107149208503706,122.0,171.64985582786883,743.928995,7.988639999999999,94.34096699999999,503.83477810000005,505.91559255,599.3648303299996,186.5891404965492
71,5000.056338028169,98.99295774647888,284.6839511056338,35.757793,529.235271,252.17402249999998,449.5878833,471.44884205,523.42167787,129.23233385964048,16.661707183098592,11.512262999999999,24.641088,16.3509775,22.381261,24.25332285,24.446152429999998,3.7303494769519854,1917.4736475070422,1275.2632389999999,2483.732821,1859.526989,2422.3035376999997,2482.9816269999997,2483.58974964,369.68527677048354,33.77471157097976,3343.45859544551,62.95457496809269,40.58262362441139,86.86389461394342,61.15842309937753,79.99534100886977,86.580541461328,86.86155238078791,13.401121297429443,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2305733175175338,100.0,98.0,99.0,99.0,99.0,99.0,0.14517977554991765,142.0,129.89985496478872,534.988125,8.054463,55.751296499999995,374.6444558,497.88700244999995,516.4493911999999,153.58574449016052
81,5000.055555555556,98.96913580246914,231.35526837037034,38.742436,850.0000289999999,162.143837,417.4087365,702.90832225,795.5970886299988,183.38301390717848,16.328213567901233,11.653832,26.469842999999997,14.389996,23.406906199999998,23.4140381,25.40536795,3.911596978793638,1831.0326700246912,1222.866139,2667.5292289999998,1702.1659029999998,2608.0491634,2664.9497797499994,2667.1191446199996,449.424248997418,38.79710497573714,3839.7159510863803,64.42245957597657,37.77884137809204,85.80868507457461,69.49272265227754,83.00404150404161,83.92605656530517,85.79307270965788,13.548418804506687,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2290614236454256,100.0,96.0,99.0,99.0,99.0,99.0,0.28159246241869246,162.0,201.23132619753085,852.222935,8.450192999999999,59.8413475,552.6513662,729.1476676499999,748.42596513,252.68122604998482
91,5000.054945054945,99.0,323.07222276373625,36.798497,883.579574,220.681447,771.2133343999999,811.5586978499999,883.44059035,244.89152353663766,16.773193956043958,13.287253,23.046298999999998,15.4177965,22.661809899999998,22.84752875,22.89843659,3.0716725842453454,1966.8452313516482,1487.463178,2337.372317,1959.0808955,2329.0952033,2335.9438921999995,2337.19861568,275.89611838849135,42.15219481186201,4173.067286374338,61.49945225842972,43.39091495775526,75.26010078983218,64.86864879795468,74.573274200479,74.60327434022462,74.99763517291441,10.384734256180636,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.2278729819047002,99.0,99.0,99.0,99.0,99.0,99.0,0.0,182.0,235.97595875274726,894.302293,7.630135999999999,116.91528849999999,740.8797705,774.7240970999998,876.53858239,273.3349049003932
101,5000.059405940594,98.9950495049505,424.0162349405941,42.081295999999995,1243.772228,361.2183885,856.8476655,923.90379015,1133.1719305999998,293.3623398223983,19.27421426732673,13.541117999999999,31.308242999999997,18.4718785,24.852124399999997,28.1086437,30.18374819,4.010800445948342,2312.798256242574,1607.238291,3137.3945719999997,2358.4358804999997,3072.5506566,3073.7630867,3137.1536162800003,448.87101703776807,40.80539982736403,4039.5325759792004,53.89060254598317,31.940470118364676,73.84914598632108,54.136345691762344,67.10430078762663,69.32317944538316,73.83776800250799,9.944611907805763,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.23638289873887766,99.0,98.0,99.0,99.0,99.0,99.0,0.07018538058791003,202.0,264.2782102524753,1256.208537,8.410810999999999,127.3643415,869.5477202999999,941.7770621,1145.42180366,323.9567208855042
111,5000.058558558559,98.99549549549549,398.72986755405407,43.382331,1120.748636,324.384236,738.6158967,1060.1649269,1107.2197777199995,285.8378361454184,21.402711963963963,11.029479,37.300536,20.972706,28.853590999999998,32.9571324,35.49796002,5.31650502558534,2496.101923027027,1607.424992,3725.8513169999997,2344.3094929999997,3661.4374135,3662.76152435,3725.36214467,595.7894681662325,39.4366654320154,3904.052235132444,49.574507492945806,26.809266226093907,90.66611396603592,47.681019368379594,67.58278099973508,68.13140674959149,90.38755024544464,12.281719260474176,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.23479662216075947,100.0,98.0,99.0,99.0,99.0,99.0,0.11616033295700565,222.0,273.1535431216216,1132.747613,7.061560999999999,225.03516,707.0945879,786.91905345,955.61912395,275.26846250258814
121,5000.053719008264,98.99173553719008,519.0930365867769,38.178276,1219.124002,436.4700545,849.1546093,1100.7874582,1218.00353559,254.51324027534312,19.26479499586777,15.728646999999999,27.711729,19.3874155,22.0759593,23.5503596,27.710049339999998,2.5057886804383114,2406.8667822272723,2215.144456,2861.272224,2327.847561,2851.8052423,2859.3019416999996,2860.33378367,203.29514513721253,46.23073580283189,4576.460772283639,52.75728846587424,36.085803235157215,63.57825946503854,51.57985085893351,62.88799163860607,63.39748092575907,63.506767017095676,6.616604086875236,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22546236141659073,99.0,98.0,99.0,99.0,99.0,99.0,0.09053265413308528,242.0,337.6186257851239,1150.060708,13.903468,318.237215,638.8709962000001,742.7931904,1149.66026242,243.53075587063145
131,5000.053435114503,98.9885496183206,560.3041120572519,37.343599999999995,1281.336157,502.461148,1124.1260072,1201.7851877999997,1243.6936617899999,369.72650409562385,22.047171515267173,15.325130999999999,33.386542,21.0169565,28.372265,30.805414749999997,32.848920009999986,4.63520142776441,2720.6811410076334,1913.1933589999999,3309.3358289999996,2737.142523,3183.3628265999996,3303.7633942499992,3308.92153478,381.04998761125466,42.60887853929493,4217.791087467992,47.353857865256025,29.95218851955378,65.25229702767304,47.58062853622174,61.362295488095064,61.63677788908345,65.24734666927367,9.679653721303277,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22489953988788142,99.0,98.0,99.0,99.0,99.0,99.0,0.10639206003638439,262.0,435.88177820229004,1684.5651679999999,13.625916,213.16521949999998,1094.3759725999998,1297.5797297499998,1550.1400038799975,452.44476308396287
141,5000.053191489362,98.82978723404256,414.7828118794326,39.155682,1237.2568099999999,423.5037855,661.7831593999999,773.0425478,1169.59640105,244.45337990897104,21.436066539007093,15.053866999999999,33.355093,19.5943005,28.861314899999996,28.874432,31.575117399999996,5.123029387805811,2510.637219393617,1701.9921239999999,3321.1939949999996,2331.0372374999997,3243.558368,3251.1648557,3320.7821047499997,550.6181915181145,50.16456192803323,4957.752982036475,49.29289041336181,29.980429075703668,66.42811445059266,51.03647268699485,66.11166322189943,66.40304011377918,66.4243907881694,11.240771151470963,profile,genai_perf_config.yaml,False,5001.0,5000.0,5000.0,5000.0,5000.95,5001.0,0.22441513946520197,99.0,98.0,99.0,99.0,99.0,99.0,0.3758196113330998,282.0,258.37654769858153,1279.358724,5.46725,171.6720895,713.8064741,716.23327275,921.97261824,269.7741446014718
