concurrency,deployment_name,input_sequence_length_avg,output_sequence_length_avg,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
1,4a,5001.0,99.0,846.6905785,842.0214259999999,851.359731,846.6905785,850.4259005,850.89281575,851.26634795,4.6691525,6.8473239999999995,6.847294,6.847353999999999,6.8473239999999995,6.847347999999999,6.847351,6.8473534,2.9999999999999997e-05,1517.728314,1513.05624,1522.400388,1517.728314,1521.4659732,1521.9331805999998,1522.3069465199999,4.672073999999999,0.6572934977230549,65.07205627458244,146.0424539599989,146.04181410804816,146.04309381194966,146.0424539599989,146.04296584155952,146.04302982675458,146.04308101491065,0.0006398519507513356,profile,genai_perf_config.yaml,False,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,0.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,5.587152,5.6243099999999995,5.549994,5.587152,5.6168784,5.6205942,5.62356684,0.037158
11,4a,5000.772727272727,99.0,418.55810586363634,126.301678,1089.210857,240.456967,988.1042651,1075.1058872,1087.19430239,343.14004250714055,8.686871045454545,6.8859449999999995,12.158807,8.165265999999999,10.3519154,11.977007799999999,12.13829924,1.5619681779258638,1269.8714796818183,804.9504499999999,1971.4583759999998,1064.255207,1970.8361987,1971.3534060999998,1971.4363938299998,441.43508368122264,7.448848158707542,737.4359677120467,118.58911363264738,82.24491103444606,145.22334988153406,122.67973289806035,143.86348910942786,144.54676867329812,145.08283913024476,19.575210924076465,profile,genai_perf_config.yaml,False,5001.0,5000.0,5001.0,5001.0,5001.0,5001.0,0.4190702026042222,99.0,99.0,99.0,99.0,99.0,99.0,0.0,22.0,68.84309522727273,318.596522,6.212054999999999,7.791532999999999,226.93089140000006,303.27129769999993,316.19386811,99.95666904097689
21,4a,5000.809523809524,99.0,281.5929516666667,52.169304,636.1251679999999,251.5456925,517.7865413999999,534.4718949999999,595.7738921399996,144.0289591450278,10.806373785714285,8.065529,16.378992999999998,10.615693499999999,13.1977019,14.493021449999993,15.633029979999993,2.0324684052092037,1340.617589595238,934.176535,1748.333328,1342.1068765,1747.8520376,1748.1934612,1748.31038481,214.16203971885392,14.359473150615562,1421.5878419109406,95.7130710544069,61.05381448053613,123.9844280517744,94.20015765969922,121.47588080981751,123.4146490310975,123.80284004001993,17.199475461482017,profile,genai_perf_config.yaml,False,5001.0,5000.0,5001.0,5001.0,5001.0,5001.0,0.39267672624930106,99.0,99.0,99.0,99.0,99.0,99.0,0.0,42.0,119.33932688095238,502.513512,7.169296999999999,86.614892,324.2905737,368.4306908999998,498.05701945999994,138.09610026901535
31,4a,5000.870967741936,98.96774193548387,281.88906440322575,43.774561,912.4763479999999,227.571167,535.3598274999999,566.1201924,891.18918532,182.13857897163592,12.827696290322582,7.434762,24.632894999999998,12.078087499999999,17.4120463,20.78619405,23.519490060000003,3.8941154197725365,1538.5563924032258,922.256864,2603.180769,1519.3255955,2598.8160442,2602.7762746,2603.1007473699997,489.3951108128567,16.95939303929778,1678.432833695664,84.53598991617412,40.59612156833373,134.50329681030811,82.79456602771687,118.09356055725675,125.87502357381277,129.743000081138,23.052167963106246,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5001.39,0.3803169716952129,99.0,98.0,99.0,99.0,99.0,99.0,0.17668469596940842,62.0,114.85535379032258,732.755508,7.224797,52.420230499999995,366.4863248,384.09722264999994,623.52781,160.46123635615047
41,4a,5000.914634146341,99.0,350.0313775853658,35.860133,796.716601,341.781403,641.9135495000003,770.8338274500003,796.48286902,191.00518312038275,14.93367307317073,8.989894999999999,25.624519,13.9638225,21.3812267,21.81091125,24.088512759999993,4.2474734589679475,1813.5313392804876,916.880322,2588.399288,1793.47255,2566.8476748000003,2587.5754424499996,2588.3082877399997,428.40421858160465,20.809460045096582,2060.1365444645617,72.47415624811369,39.02512277401188,111.23600442496826,71.61368552269751,103.19111614797647,107.32542543279811,111.23493203093503,20.130458459631246,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.35617272845146913,99.0,99.0,99.0,99.0,99.0,99.0,0.0,82.0,143.4649690121951,738.0100769999999,1.47143,67.440457,432.32741039999996,557.2407567500001,653.0836368299998,181.8170726884413
51,4a,5000.931372549019,99.00980392156863,329.58223945098035,37.771774,628.0450539999999,358.774381,513.6347005,558.9934569,598.4097490099999,141.3897991172389,13.832598352941176,9.399588999999999,23.566965999999997,12.634075,19.0107443,20.19555979999999,21.74272446,3.7186760580723197,1685.387882127451,1004.8397239999999,2380.329479,1456.1142619999998,2308.329066,2379.8286753,2380.10284467,390.9661516616735,27.49416249332954,2722.191637452304,77.29485202990325,42.43227575412125,106.38763035277394,79.15102610425461,101.11562591271571,103.07221953475855,106.36272959873331,19.01904332899569,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.350344478141287,100.0,99.0,99.0,99.0,99.0,99.0,0.09852819236393032,102.0,132.4688222745098,836.688643,8.568393,65.036834,346.6758862,495.22369529999924,640.2017476499999,170.42905130741377
61,4a,5000.901639344263,99.0,229.63065157377048,29.938536,659.981584,209.36751049999998,413.0243363,447.9449116999997,609.7636987499995,126.89079997842428,14.115099868852457,8.43235,24.11573,13.082189,19.966167000000006,22.1501922,23.91380172,3.845189560612004,1612.943004057377,972.070563,2448.062558,1573.002994,2384.1295773,2444.371608849999,2447.98371216,404.65299652282846,33.998319089663234,3365.8335898766604,75.8490041892701,41.46671073195794,118.59090289183916,76.44047541456862,100.62214167205634,110.39009696965876,118.58637287119406,19.159081507920984,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.371303332882168,100.0,98.0,99.0,99.0,99.0,99.0,0.12803687993289598,122.0,137.96554340983604,650.659302,8.233122,57.8093345,351.1449578,458.34056885,630.76586976,167.4615995302438
71,4a,5000.894366197183,99.03521126760563,178.9043099366197,35.177572,381.155198,175.54668949999999,304.9659977,368.54004089999995,380.81409045,97.20986116954622,14.107105654929578,11.116819,18.524562,13.8226105,16.9480713,16.9564078,18.4198496,1.825530012400956,1561.878059507042,1213.836393,2034.345269,1548.4573655,1942.6076902999998,1944.2488042999998,2033.7301685999998,201.75985281377768,42.14574975851561,4173.913231366233,72.02485901146956,53.98238295728665,89.953789838622,72.34523464704115,83.1369693007287,84.54798956365423,89.94956965099655,8.878038562360189,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.3697686082485937,101.0,99.0,99.0,99.0,99.0,100.0,0.21921665375032928,142.0,78.70229130985915,377.771613,2.570386,22.011549,259.67283460000004,291.5582270999998,377.09914232,99.27055488019285
81,4a,5000.907407407408,98.99382716049382,174.72888160493827,32.6316,731.848497,105.896361,496.75229230000053,517.4441565,709.8502187899994,168.13119640862487,14.379564111111112,10.97726,21.812642999999998,13.242291,19.865567499999997,20.313091149999998,21.781239559999996,3.0164988559280026,1583.8280437901235,1117.42147,2221.823464,1413.3695034999998,2164.7739763,2166.13004255,2221.53251787,355.2328618763195,47.00071966283411,4652.781118721423,72.20260437639938,45.84497165244945,91.09741410880311,75.51566325992583,86.75546335864897,87.97998912961961,90.98906462496998,12.877295810759346,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.36524227635770407,99.0,98.0,99.0,99.0,99.0,99.0,0.07832455271882419,162.0,120.30748766049382,731.44283,7.5407269999999995,14.93548,484.36781730000035,606.5651662999989,716.5863264299999,187.5076306314908
91,4a,5000.923076923077,98.97802197802197,161.7564650164835,23.878349,436.156659,146.50023099999999,371.1221455000002,402.15212225,435.80587356999996,107.77505614556954,14.129940521978021,11.40693,19.639426,13.646502,17.170118600000002,19.04038255,19.60291244,2.1551995483077273,1546.2119943351647,1189.301059,2010.04593,1442.3744594999998,1966.791283,1968.6590884999998,1997.8830250199999,253.727655855994,53.53677447259967,5298.9640403813755,72.26128232087277,50.91798507756795,87.66600654163742,73.27885228275464,82.66549876543554,86.1632604334807,87.6467001075263,9.884040193247603,profile,genai_perf_config.yaml,False,5002.0,5000.0,5001.0,5001.0,5001.0,5002.0,0.35489572004297015,100.0,98.0,99.0,99.0,99.0,99.0,0.18023318095446952,182.0,61.69703216483516,444.56920199999996,6.0293399999999995,13.788959,153.6071589,246.79213735,429.40181786,95.04496594014942
