concurrency,time_to_first_token_avg,time_to_first_token_min,time_to_first_token_max,time_to_first_token_p50,time_to_first_token_p90,time_to_first_token_p95,time_to_first_token_p99,time_to_first_token_std,inter_token_latency_avg,inter_token_latency_min,inter_token_latency_max,inter_token_latency_p50,inter_token_latency_p90,inter_token_latency_p95,inter_token_latency_p99,inter_token_latency_std,request_latency_avg,request_latency_min,request_latency_max,request_latency_p50,request_latency_p90,request_latency_p95,request_latency_p99,request_latency_std,request_throughput_avg,output_token_throughput_avg,output_token_throughput_per_user_avg,output_token_throughput_per_user_min,output_token_throughput_per_user_max,output_token_throughput_per_user_p50,output_token_throughput_per_user_p90,output_token_throughput_per_user_p95,output_token_throughput_per_user_p99,output_token_throughput_per_user_std,input_config_subcommand,input_config_template_filename,input_config_verbose,input_sequence_length_avg,input_sequence_length_max,input_sequence_length_min,input_sequence_length_p50,input_sequence_length_p90,input_sequence_length_p95,input_sequence_length_p99,input_sequence_length_std,output_sequence_length_avg,output_sequence_length_max,output_sequence_length_min,output_sequence_length_p50,output_sequence_length_p90,output_sequence_length_p95,output_sequence_length_p99,output_sequence_length_std,request_count_avg,time_to_second_token_avg,time_to_second_token_max,time_to_second_token_min,time_to_second_token_p50,time_to_second_token_p90,time_to_second_token_p95,time_to_second_token_p99,time_to_second_token_std
101,6078.054229534653,68.70438,19216.539127,3444.2187285,15983.836877699996,17465.2523694,19215.841565259998,5194.502718124948,22.961089633663367,9.268585999999999,24.522738,24.239313499999998,24.4496061,24.46596725,24.468042859999997,2.6540127489914997,17787.40099144802,4948.380569,31694.69779,15804.162134499999,25853.0732785,28571.568370299996,31693.73521229,5157.196428551114,5.012932868112175,2561.4101636105447,44.523591812464616,40.77848077160063,107.89132236567691,41.25529381377919,49.81647895819921,59.022030002530705,88.49762134262016,8.779751348394564,profile,genai_perf_config.yaml,False,5000.054455445545,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.22691419081912553,510.96039603960395,513.0,509.0,511.0,511.0,511.0,512.0,0.42029673815427965,404.0,29.61953222772277,53.980176,3.5047349999999997,28.884159,45.36430369999998,50.756488499999996,52.12775538999999,9.592324749969846
111,7177.209333092342,99.4729,19095.110130999998,4589.083528,15980.664168299998,17572.2952256,19093.62855849,5238.166578851097,23.075262394144143,13.613861,24.763143,24.4595995,24.6678027,24.714524949999998,24.73911947,2.4196910689546955,18944.21365185135,7197.971990999999,31579.779639,16298.349284999998,27180.2571059,29568.209774999996,31578.076422269998,5189.87897746716,5.304952684752552,2710.508223434481,43.951791796093424,40.38259602183778,73.45454753798353,40.88374382441218,52.98393147751264,55.648791861947515,72.2320523164774,5.950296577864713,profile,genai_perf_config.yaml,False,5000.051801801802,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.22162665708774437,510.93918918918916,513.0,508.0,511.0,511.0,511.0,512.0,0.4008945742997106,444.0,35.205260765765765,55.650966999999994,9.243872,31.342747,51.5137856,52.242459899999986,53.873151299999996,11.277452627088811
121,8530.336542336776,482.961162,19013.713421,7806.0260075,16884.0426471,17822.65396675,19012.2921465,5404.732896838043,23.230375853305787,15.061546,24.755466,24.354167,24.6508507,24.6589181,24.70490662,1.8027757047884718,20376.766086059917,8164.34967,31449.210462,18915.5203835,28316.423991099997,30359.3204892,31448.390397549996,5374.5569959511795,5.431906885119825,2775.457513437816,43.34643767828021,40.39511920316911,66.3942466463934,41.06073510954998,48.841971985915485,50.45881945296157,56.32740187500754,3.8886797273250724,profile,genai_perf_config.yaml,False,5000.051652892562,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.22132526121517102,510.95454545454544,513.0,509.0,511.0,511.0,511.0,512.1700000000001,0.42881732418439106,484.0,35.86669750619834,59.150492,9.439103,34.458798,51.6106387,52.4278274,54.22388057,11.039966317533523
131,9966.093753520992,803.049631,18919.802682999998,11261.288150499999,18550.1191458,18839.3209094,18914.861806099998,5642.862423694905,23.29310621946565,17.193991,24.671802,24.171008999999998,24.574323999999997,24.60700885,24.60969548,2.031990964918682,21845.008691456107,9699.947315,31453.226685999998,21931.4395185,30759.2250132,31387.227071049998,31452.257123569998,5707.185056519484,5.4712821927911754,2795.6894625992936,43.32752276625368,40.532102195048424,58.15985363723873,41.37187653310143,52.86326040644372,55.69477308145959,57.27194350337119,4.555604463672734,profile,genai_perf_config.yaml,False,5000.053435114503,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.22489953988788142,510.9751908396947,513.0,508.0,511.0,511.0,511.0,512.77,0.42055370833637656,524.0,38.42783691793893,56.69849,9.264761,42.0583825,51.20271879999999,52.23649125,54.14860784999999,11.275367634194085
141,11611.61236711702,1116.493586,18938.90243,12498.603038,17609.655214299997,18444.20283435,18937.66944881,5274.080376093179,23.304271480496453,15.531879,24.786441999999997,24.187976499999998,24.5978052,24.607456449999997,24.65973851,1.5352416703720875,23495.460908569148,9037.751822999999,31360.028538,24234.221751999998,30006.124508999997,30829.43643925,31358.239992459996,5384.156020182518,5.494118797081375,2807.192723601651,43.117315820842315,40.34463679781068,64.38371043194452,41.342854785724256,47.93622200650894,48.30194033655246,54.57314993009979,3.158159448535867,profile,genai_perf_config.yaml,False,5000.051418439716,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.22084968592563597,510.9450354609929,513.0,507.0,511.0,511.0,511.0,512.0,0.4361666089916278,564.0,35.77857799468085,269.615351,2.873325,33.754596,51.605263,52.159453299999996,53.54473264999999,14.98403697046438
151,13367.504553350993,621.141763,19345.619731,14646.884289,18489.412769900002,19196.88078,19266.745935009996,4861.7319677966,23.415295642384102,13.623707999999999,24.749681,24.348816499999998,24.6364985,24.65216055,24.70240377,1.9632696043265785,25306.25033330629,7569.233034,31894.230412999997,26338.444548,30872.782636599997,31733.2775562,31813.834436459998,5103.607752166078,5.4180100180536455,2767.8855020044784,43.09768195982652,40.40456117393998,73.40145575639173,41.06975795266436,47.47928488574541,51.92274152515794,64.76752098739362,4.713168568794789,profile,genai_perf_config.yaml,False,5000.05298013245,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.22399383477202334,510.8675496688742,513.0,474.0,511.0,511.0,511.0,512.0,1.555488027115571,604.0,36.29487645364238,57.989705,10.259777,34.72004,51.73210339999999,52.3686496,54.76845164,11.395630203269917
161,14558.112514731367,402.44093799999996,23738.734194999997,16339.119587,18270.5794645,18353.4084387,21117.807351599997,4620.824156068335,23.38036227484472,14.343217,24.787049,23.884031999999998,24.647887899999997,24.66853045,24.70028655,1.5124840737833731,26480.392671110247,7717.481680999999,34919.763372,28336.467227499998,30641.26073,30919.5947728,33027.65775134002,4834.948784454936,5.564432682078443,2843.0276410647925,42.9799962909187,40.34364881434656,69.71936630394701,41.868977568169385,46.20270267002183,49.892447351177275,51.636330156634145,3.2773324194693214,profile,genai_perf_config.yaml,False,5000.051242236025,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.22049142675400968,510.92857142857144,514.0,508.0,511.0,511.0,511.0,513.0,0.5238330504786192,644.0,38.80907478881988,219.227792,0.17118,35.548896,51.9973357,52.48494735,60.97680629000001,20.662478958250993
171,17303.85500452632,1159.172993,30770.216013999998,18223.434832,22122.7777752,25251.62748285001,28195.843292169986,5679.131404953203,23.23740864035088,13.154119,24.787903999999997,24.12724,24.5333946,24.682115949999996,24.69020852,2.156225510196172,29153.91182431871,9296.109666999999,40379.862943,30590.229336499997,33128.227349299996,36495.52876185001,38641.56641819,5508.530403782873,5.322807786649092,2719.721322495815,43.52832653298896,40.34225725579702,76.02181491592101,41.446928865465,49.49052429936304,53.02963426943522,69.53339099820441,5.421443646722527,profile,genai_perf_config.yaml,False,5000.051169590643,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.2203435128082389,510.9561403508772,514.0,506.0,511.0,511.0,511.0,512.17,0.47554863748876497,684.0,33.06652230555555,62.987562999999994,10.24199,29.915809999999997,50.9766441,51.96242485,53.78093580999999,11.054127923856763
181,17800.763941051104,545.380598,32627.589612,18419.3991595,24044.2524127,25492.5456461,29705.483939359998,5956.290018226665,23.399269095303865,14.813013,24.784202,24.395508,24.670436399999996,24.673912899999998,24.69286592,1.7033916956000952,29732.50285502348,8085.204245,44007.095667999994,30716.0619185,35226.548482800004,36946.11819115,40047.839310129995,5881.722289388155,5.549560697162685,2835.3809381832325,42.9958748889279,40.34828315230807,67.50821051733365,40.99115580735523,48.856137153985756,52.14231704792531,52.97843114457874,3.5835383970319064,profile,genai_perf_config.yaml,False,5000.052486187846,5001.0,5000.0,5000.0,5000.0,5001.0,5001.0,0.22300535404059546,510.91988950276243,516.0,504.0,511.0,511.0,511.0,512.0,0.5167813572641479,724.0,39.2404782417127,58.8848,3.5881879999999997,41.223959,51.8309109,52.37083964999999,54.35388704,10.795101954484808
191,18782.175577659687,615.500642,33916.659022,19200.82059,25415.4870574,26350.296681049997,31352.30514302,6555.932322452638,23.528127319371727,15.915766999999999,24.876504,24.350438,24.5363148,24.6365461,24.75845738,1.6420183323604374,30776.348720302354,9293.974216999999,46343.186323999995,31510.958112499997,37531.8326265,38196.63802205,42291.72374811,6551.389502242729,5.6110645451039245,2866.027480219529,42.74709534626775,40.198574526388434,62.830776550071384,41.067023107505605,47.38763759693804,50.88661014295644,53.63883542499815,3.5281867645334417,profile,genai_perf_config.yaml,False,5000.051047120419,5001.0,5000.0,5000.0,5000.0,5000.85,5001.0,0.2200938706911026,510.7814136125655,513.0,503.0,511.0,511.0,511.0,512.0,1.107149583684334,764.0,39.18591337565445,58.767008999999995,3.2582359999999997,40.641746499999996,51.77016,52.465362999999996,53.86543677,11.4416421783163
